OrdemBancaria,DatadoPagamento,DocumentodeLiquidacao,CodigoUnidadeGestora,NomeUsuarioQueCriou,Finalidade,Valor
2023160101OB00469,10/2/23,2023160101DL000606,160101,ALEXSEYN JOHNSON DE ARAUJO RODRIGUES,PAG. DIÁRIAS PRD 92385 PERÍODO 13/02/2023 A 13/02/2023 CASTANHAL/BELÉM/CASTANHAL,R$ 118.69
2023160101OB00470,10/2/23,2023160101DL000588,160101,FABIANO MOURA DE VASCONCELOS,PGTO DIARIA CF PRD 92468 PORTARIA 55946/23,R$ 830.83
2023160101OB00471,10/2/23,2023160101DL000584,160101,FABIANO MOURA DE VASCONCELOS,PGTO DIARIA CF PRD 92465 PORTARIA 55945/23,"R$ 1,068.21"
2023160101OB00472,10/2/23,2023160101DL000584,160101,FABIANO MOURA DE VASCONCELOS,#null,"-R$ 1,068.21"
2023160101OB00473,10/2/23,2023160101DL000607,160101,ALIANE MARILIA SILVA DE SOUZA,"PAGAMENTO REFERENTE A DIÁRIA, PRD 92433, PERIODO DE 10 A 14/02/23, TUCURUI/BELÉM.","R$ 1,068.21"
2023160101OB00474,10/2/23,2023160101DL000608,160101,ALEXSEYN JOHNSON DE ARAUJO RODRIGUES,PAG. DIÁRIAS PRD 92480 PERÍODO 10/02/2023 A 10/02/2023 CASTANHAL/BELÉM/CASTANHAL,R$ 118.69
2023160101OB00475,10/2/23,2023160101DL000569,160101,FABRICIO FARIAS MACHADO,"PAGAMENTO REFERENTE A DIÁRIA, PDR 92449, PERÍODO DE 10/02/2023 À 14/02/2023. TRAJETO MAE DO RIO/BELÉM.","R$ 1,068.21"
2023160101OB00476,10/2/23,2023160101DL000610,160101,ALEXSEYN JOHNSON DE ARAUJO RODRIGUES,PAG. DIÁRIAS PRD 92445 PERÍODO 10/02/2023 A 14/02/2023 MAE DO RIO/BELÉM/MAE DO RIO,"R$ 1,068.21"
2023160101OB00477,10/2/23,2023160101DL000601,160101,FABRICIO FARIAS MACHADO,"PAGAMENTO REFERENTE A DIÁRIA, PDR 92498, PERÍODO DE 13/02/2023 À 13/02/2023. TRAJETO ABAETETUBA/BELÉM.",R$ 118.69
2023160101OB00478,10/2/23,2023160101DL000585,160101,ALIANE MARILIA SILVA DE SOUZA,"PAGAMENTO REFERENTE A DIÁRIA, PRD 92461, PERIODO DE 10 A 14/02/23, XINGUARA/BELÉM.","R$ 1,068.21"
2023160101OB00479,10/2/23,2023160101DL000612,160101,ROSEMARY SANTOS DOS REIS,"PAGTO.REF.DIARIA, PRD N 92457, PORTARIA N 55941","R$ 1,068.21"
2023160101OB00480,10/2/23,2023160101DL000613,160101,ALEXSEYN JOHNSON DE ARAUJO RODRIGUES,PAG. DIÁRIAS PRD 92341 PERÍODO 10/02/2023 A 11/02/2023 BRASILIA/BELÉM/BRASILIA,R$ 838.76
2023160101OB00481,10/2/23,2023160101DL000611,160101,ALIANE MARILIA SILVA DE SOUZA,"PAGAMENTO REFERENTE A DIÁRIA, PRD 92494, PERIODO DE 11 A 14/02/23, MARACANA/BELÉM.",R$ 830.83
2023160101OB00482,10/2/23,2023160101DL000584,160101,FABIANO MOURA DE VASCONCELOS,PGTO DIARIA CF PRD 92465 PORTARIA 55945/23,"R$ 1,068.21"
2023160101OB00483,10/2/23,2023160101DL000586,160101,ROSEMARY SANTOS DOS REIS,"PAGTO REF.DIARIA, PRD N 92379, PORTARIA N 55905/2023",R$ 118.69
2023160101OB00484,10/2/23,2023160101DL000584,160101,batch,#null,"-R$ 1,068.21"
2023160101OB00485,10/2/23,2023160101DL000533,160101,batch,#null,-R$ 118.69
2023160101OB00486,10/2/23,2023160101DL000534,160101,batch,#null,-R$ 118.69
2023160101OB00487,13/02/2023,2023160101DL000486,160101,FABRICIO FARIAS MACHADO,REFERENTE A PAGAMENTO DE PESSOAL JANEIRO/2023,"R$ 159,891.49"
2023160101OB00488,13/02/2023,2023160101DL000490,160101,FABRICIO FARIAS MACHADO,REFERENTE A PAGAMENTO DE PESSOAL JANEIRO/2023,"R$ 1,623.24"
2023160101OB00489,13/02/2023,2023160101DL000492,160101,FABRICIO FARIAS MACHADO,REFERENTE A PAGAMENTO DE PESSOAL JANEIRO/2023,"R$ 2,631.00"
2023160101OB00490,13/02/2023,2023160101DL000494,160101,FABRICIO FARIAS MACHADO,REFERENTE A PAGAMENTO DE PESSOAL JANEIRO/2023,R$ 852.22
2023160101OB00491,13/02/2023,2023160101DL000619,160101,LUIZ GERALDO FERREIRA CARDOSO,PAGAMENTO DEZ/22.CONT.N.26/16.VAL.16/06/23. 18ª URE DE MÃE DO RIO.,"R$ 3,223.66"
2023160101OB00492,13/02/2023,2023160101DL000497,160101,FABRICIO FARIAS MACHADO,REFERENTE A PAGAMENTO DE PESSOAL JANEIRO/2023,R$ 568.15
2023160101OB00493,13/02/2023,2023160101DL000507,160101,FABRICIO FARIAS MACHADO,REFERENTE A PAGAMENTO DE PESSOAL JANEIRO/2023,"R$ 10,023.31"
2023160101OB00494,13/02/2023,2023160101DL000509,160101,FABRICIO FARIAS MACHADO,REFERENTE A PAGAMENTO DE PESSOAL JANEIRO/2023,R$ 500.00
2023160101OB00495,13/02/2023,2023160101DL000514,160101,FABRICIO FARIAS MACHADO,REFERENTE A PAGAMENTO DE PESSOAL JANEIRO/2023,"R$ 68,954.07"
2023160101OB00496,13/02/2023,2023160101DL000620,160101,VANESSA FERREIRA SOARES,"PGTO. REF. AQUISIÇÃO DE MERENDA ESCOLAR, NF1799/2022, CTO.187/22, PNAE: ENS. MÉDIO, PLANO INTERNO:1010008477C, AÇÃO: 232.131, FUNCIONAL PROGRAMA: 16101.12.306.1509, PROJETO ATIVIDADE:8.477, PAE:22/1248115.","R$ 75,208.90"
2023160101OB00497,13/02/2023,2023160101DL000621,160101,VANESSA FERREIRA SOARES,"PGTO. REF. AQUISIÇÃO DE MERENDA ESCOLAR, NF1801/2022, CTO.187/22, PNAE: ENS. MÉDIO, PLANO INTERNO:1010008477C, AÇÃO: 232.131, FUNCIONAL PROGRAMA: 16101.12.306.1509, PROJETO ATIVIDADE:8.477, PAE:22/1248115.","R$ 104,032.90"
2023160101OB00498,13/02/2023,2023160101DL000497,160101,FABRICIO FARIAS MACHADO,#null,-R$ 568.15
2023160101OB00499,13/02/2023,2023160101DL000486,160101,FABRICIO FARIAS MACHADO,#null,"-R$ 159,891.49"
2023160101OB00500,13/02/2023,2023160101DL000490,160101,FABRICIO FARIAS MACHADO,#null,"-R$ 1,623.24"
2023160101OB00501,13/02/2023,2023160101DL000492,160101,FABRICIO FARIAS MACHADO,#null,"-R$ 2,631.00"
2023160101OB00502,13/02/2023,2023160101DL000494,160101,FABRICIO FARIAS MACHADO,#null,-R$ 852.22
2023160101OB00503,13/02/2023,2023160101DL000507,160101,FABRICIO FARIAS MACHADO,#null,"-R$ 10,023.31"
2023160101OB00504,13/02/2023,2023160101DL000509,160101,FABRICIO FARIAS MACHADO,#null,-R$ 500.00
2023160101OB00505,13/02/2023,2023160101DL000622,160101,LUIZ GERALDO FERREIRA CARDOSO,PAGAMENTO DEZ/22.CONT.N.026/13.VAL.12/08/23.SOME ABAETE.,R$ 586.03
2023160101OB00506,13/02/2023,2023160101DL000514,160101,FABRICIO FARIAS MACHADO,#null,"-R$ 68,954.07"
2023160101OB00507,31/01/2023,2023160101DL000486,160101,FABRICIO FARIAS MACHADO,PAGAMENTO REFERENTE A FOLHA NORMAL (1) DE PESSOAL JANEIRO/2023,"R$ 159,891.49"
2023160101OB00508,31/01/2023,2023160101DL000490,160101,FABRICIO FARIAS MACHADO,PAGAMENTO REFERENTE A FOLHA NORMAL (1) DE PESSOAL JANEIRO/2023,"R$ 1,623.24"
2023160101OB00509,13/02/2023,2023160101DL000109,160101,ELIANE CRISTINA DA CUNHA LEAL,"RESTOS A PAGAR, REGISTRADO PELA 2022NE00387, REFERENTE AO CONSUMO DE DEZEMBRO/2022","R$ 8,550.28"
