OrdemBancaria,DatadoPagamento,DocumentodeLiquidacao,CodigoUnidadeGestora,NomeUsuarioQueCriou,Finalidade,Valor
2025160101OB00046,15/01/2025,2024160101DL019263,160101,PAULO JORGE BRITO BORGES,PGT.REF.CONT.182;NF.27027; ENS.MÉDIO/OUTUBRO/24; RESTOS A PG PROCESSADOS.PREST.SERVIÇOS NAS ESCOLAS,"R$ 530,638.11"
2025160101OB00047,15/01/2025,2025160101DL000011,160101,GENNYSON CLAUDIO PINTO BARBOSA,PGTO.RET.INSS.NF.4031.,"R$ 7,336.98"
2025160101OB00048,15/01/2025,2025160101DL000023,160101,LUIZ GERALDO FERREIRA CARDOSO,PAGAMENTO DO MÊS DE DEZEMBRO/24 RESTO A PAGAR,R$ 625.39
2025160101OB00049,15/01/2025,2025160101DL000043,160101,GENNYSON CLAUDIO PINTO BARBOSA,PGTO.RET.INSS.NF.3665.,"R$ 23,573.61"
2025160101OB00050,15/01/2025,2024160101DL019255,160101,PAULO JORGE BRITO BORGES,PGT.REF.CONT.230/18;NF.27022; ENS.FUNDAM E MÉDIO; 19 DIAS de OUTUBRO/24; RESTOS A PG PROCESSADOS.PREST.SERVIÇOS NAS ESCOLAS,"R$ 38,849.90"
2025160101OB00051,15/01/2025,2024160101DL019034,160101,Marcos Roberto Nascimento da Silva,"PGTO. NF: 386/2024 REF. AQUISIÇÃO DE MERENDA ESCOLAR, PLANO INTERNO 1010008477C, ACAO 282.882, FUNCIONAL PROGRAMA 16101.12.306.1511, REGIÃO DE INTEGRAÇÃO GUAJARÁ, ATENDENDO PNAE- AEE, FUND., EJA, MÉDIO E T.I.. CONTRATO 021/2023. CONSIDERANDO O ATESTO DO FISCAL NA ENTREGA DO PRODUTO, CONFORMIDADE DO NCI E AUTORIZO SUPERIOR.","R$ 136,646.51"
2025160101OB00052,15/01/2025,2025160101DL000042,160101,LUIZ GERALDO FERREIRA CARDOSO,PAGAMENTO DO MÊS DE DEZEMBRO/24 RESTO A PAGAR.,"R$ 3,190.00"
2025160101OB00053,15/01/2025,2025160101DL000044,160101,GENNYSON CLAUDIO PINTO BARBOSA,PGTO.RET.INSS.NF.2531.,"R$ 20,956.18"
2025160101OB00054,15/01/2025,2025160101DL000055,160101,EULLER ADRIANO QUEIROZ LIMA,"PGT LG, CONT: 058, OUTUBRO DE 2024, NF 13608/24. PROCESSO: 1242584/24.","R$ 272,045.26"
2025160101OB00055,15/01/2025,2025160101DL000047,160101,GENNYSON CLAUDIO PINTO BARBOSA,PGTO.RET.INSS.NF.2209.,"R$ 20,562.61"
2025160101OB00056,15/01/2025,2025160101DL000036,160101,LUIZ GERALDO FERREIRA CARDOSO,PAGAMENTO DO MÊS DE DEZEMBRO/24 RESTO A PAGAR.,"R$ 3,070.81"
2025160101OB00057,15/01/2025,2025160101DL000051,160101,EULLER ADRIANO QUEIROZ LIMA,"PGT KAPA, OUTUBRO DE 2024, NF 11713635,11713638,11713641 E 11713643. CONTRATO 299/18. PROCESSO: 1242056/24.","R$ 267,388.36"
